state,counties,city,price,type,beds,baths,sqfeet,latlong
ca,sacramento,fair oaks,1319,apartment,1,1,745,"(38.6639, -121.27)"
ca,sacramento,rancho cordova,1550,apartment,1,1,742,"(38.5864, -121.283)"
ca,sacramento,lodi,1975,apartment,2,2,1057,"(38.0971, -121.263)"
ca,sacramento,fair oaks,1492,apartment,2,2,965,"(38.6639, -121.27)"
ca,sacramento,lodi,1975,apartment,2,2,1057,"(38.0971, -121.263)"
ca,sacramento,la riviera,1345,apartment,2,2,865,"(38.6003, -121.417)"
ca,sacramento,fair oaks,1321,apartment,1,1,800,"(38.6639, -121.27)"
ca,sacramento,citrus heights,1305,apartment,1,1,710,"(38.6946, -121.269)"
ca,sacramento,sacramento,1472,apartment,2,1,838,"(38.6131, -121.506)"
ca,sacramento,sacramento,1725,apartment,2,2,1113,"(38.6383, -121.507)"
ca,sacramento,north highlands,1500,apartment,3,2,1428,"(38.6429, -121.412)"
ca,sacramento,carmichael,2095,apartment,3,2,1300,"(38.6097, -121.327)"
ca,sacramento,citrus heights,1439,apartment,2,2,854,"(38.6946, -121.269)"
ca,sacramento,folsom,2325,apartment,2,2,1368,"(38.6668, -121.152)"
ca,sacramento,foothill farms,1015,apartment,1,1,560,"(38.6682, -121.327)"
ca,sacramento,davis,2228,apartment,2,1,925,"(38.5647, -121.731)"
ca,sacramento,foothill farms,1015,apartment,1,1,560,"(38.6682, -121.327)"
ca,sacramento,dixon,1595,apartment,2,1,950,"(38.4554, -121.839)"
ca,sacramento,fairfield,1745,apartment,2,1,847,"(38.2541, -122.02)"
ca,sacramento,west sacramento,1775,apartment,2,2.5,1115,"(38.4829, -121.532)"
ca,sacramento,carmichael,995,apartment,0,1,550,"(38.6229, -121.331)"
ca,sacramento,orangevale,1257,apartment,1,1,560,"(38.6792, -121.226)"
ca,sacramento,sacramento,1815,apartment,1,1,800,"(38.6383, -121.507)"
ca,sacramento,sacramento,1480,apartment,2,2,895,"(38.6122, -121.502)"
ca,sacramento,rocklin,1430,apartment,1,1,640,"(38.7877, -121.237)"
ca,sacramento,rocklin,1775,apartment,2,2,1012,"(38.7813, -121.239)"
ca,sacramento,vacaville,2015,apartment,1,1,790,"(38.3869, -121.935)"
ca,sacramento,carmichael,1475,apartment,2,5,916,"(38.6269, -121.328)"
ca,sacramento,sacramento,1295,apartment,1,1,655,"(38.6265, -121.509)"
ca,sacramento,citrus heights,1395,apartment,2,0,900,"(38.7346, -121.234)"
ca,sacramento,west sacramento,1611,apartment,2,1,1015,"(38.589, -121.522)"
ca,sacramento,sacramento,1750,apartment,1,1,576,"(38.5689, -121.488)"
ca,sacramento,la riviera,1475,duplex,2,1,950,"(38.5843, -121.342)"
ca,sacramento,north highlands,1980,apartment,3,2,1056,"(38.6849, -121.364)"
ca,sacramento,sacramento,1855,apartment,1,1,780,"(38.6383, -121.507)"
ca,sacramento,citrus heights,1199,apartment,1,1,640,"(38.7111, -121.272)"
ca,sacramento,fair oaks,1369,apartment,1,1,700,"(38.6393, -121.276)"
ca,sacramento,sacramento,3120,apartment,2,2,1163,"(38.5714, -121.488)"
ca,sacramento,folsom,1792,apartment,2,2,1077,"(38.6458, -121.126)"
ca,sacramento,rio linda,1705,apartment,1,1,975,"(38.656, -121.512)"
ca,sacramento,roseville,1800,house,3,2,1067,"(38.7778, -121.33)"
ca,sacramento,folsom,1955,apartment,2,2,1106,"(38.6709, -121.153)"
ca,sacramento,rio linda,1309,apartment,1,1,597,"(38.6406, -121.444)"
ca,sacramento,west sacramento,2100,apartment,3,2,1200,"(38.6174, -121.518)"
ca,sacramento,rio linda,1579,apartment,2,2,803,"(38.6406, -121.444)"
ca,sacramento,rio linda,1705,apartment,1,1,975,"(38.656, -121.512)"
ca,sacramento,west sacramento,1999,apartment,2,2,1136,"(38.4911, -121.519)"
ca,sacramento,sacramento,1820,apartment,3,2,1043,"(38.614, -121.494)"
ca,sacramento,north highlands,555,house,4,2.5,2059,"(38.7159, -121.365)"
ca,sacramento,west sacramento,1825,apartment,2,2,990,"(38.4962, -121.53)"
